gets,0
9,True
9,True
9,False
9,False
9,False
9,False
9,True
9,False
9,True
9,True
9,True
9,False
9,False
9,False
9,False
9,False
9,True
9,True
9,True
9,False
9,True
9,True
9,False
9,False
9,False
9,False
9,False
9,True
9,False
9,False
9,True
9,True
9,True
9,True
9,True
9,True
9,True
9,True
9,True
9,False
9,True
9,True
9,True
9,True
9,True
9,True
9,False
9,False
9,True
9,True
9,True
9,True
9,True
9,True
9,True
9,True
9,False
9,True
9,True
9,True
9,True
9,True
9,True
9,True
9,True
9,True
10,False
10,True
10,False
10,True
10,True
10,True
10,True
10,True
10,False
10,False
10,False
10,True
10,True
10,True
10,True
10,False
10,True
10,True
10,False
10,False
10,False
10,True
10,False
10,False
10,True
10,False
10,True
10,False
10,False
10,False
10,False
10,False
10,False
10,False
10,True
10,False
10,True
10,True
10,False
10,True
10,False
10,False
10,True
10,True
10,True
10,False
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,False
10,True
10,False
10,True
10,True
10,False
10,False
10,True
10,False
10,False
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,True
10,True
11,False
11,True
11,False
11,False
11,True
11,True
11,False
11,True
11,False
11,False
11,True
11,True
11,True
11,True
11,True
11,False
11,True
11,False
11,False
11,False
11,False
11,True
11,False
11,False
11,False
11,False
11,False
11,True
11,False
11,False
11,False
11,False
11,False
11,False
11,False
11,False
11,True
11,False
11,False
11,True
11,False
11,False
11,False
11,True
11,True
11,False
11,True
11,False
11,True
11,False
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,False
11,True
11,False
11,True
11,True
11,True
11,True
11,True
11,False
11,False
11,False
11,True
11,False
11,False
11,False
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
11,True
12,False
12,True
12,True
12,False
12,False
12,False
12,False
12,True
12,True
12,False
12,False
12,True
12,False
12,False
12,False
12,False
12,True
12,True
12,False
12,False
12,False
12,True
12,False
12,False
12,False
12,True
12,True
12,True
12,False
12,False
12,False
12,True
12,True
12,True
12,False
12,False
12,False
12,False
12,False
12,False
12,True
12,True
12,True
12,False
12,True
12,True
12,False
12,False
12,False
12,True
12,True
12,False
12,True
12,True
12,False
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,False
12,False
12,True
12,True
12,True
12,False
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,True
12,False
12,True
13,False
13,True
13,True
13,False
13,False
13,True
13,True
13,False
13,True
13,False
13,True
13,False
13,True
13,False
13,False
13,True
13,True
13,False
13,False
13,False
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,False
13,True
13,True
13,False
13,True
13,True
13,False
13,False
13,False
13,False
13,True
13,False
13,False
13,True
13,True
13,True
13,True
13,True
13,False
13,True
13,False
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,False
13,False
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,False
13,True
13,True
13,True
13,False
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
13,True
14,False
14,True
14,True
14,True
14,True
14,True
14,False
14,True
14,True
14,False
14,False
14,True
14,True
14,False
14,True
14,True
14,True
14,False
14,False
14,True
14,False
14,False
14,True
14,False
14,False
14,False
14,True
14,True
14,True
14,False
14,True
14,True
14,True
14,True
14,False
14,False
14,False
14,True
14,True
14,True
14,False
14,False
14,False
14,False
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,False
14,True
14,True
14,True
14,True
14,True
14,False
14,True
14,True
14,False
14,False
14,True
14,False
14,True
14,False
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,True
14,True
15,False
15,False
15,False
15,True
15,True
15,False
15,False
15,True
15,True
15,True
15,True
15,True
15,True
15,False
15,False
15,False
15,True
15,True
15,True
15,False
15,False
15,True
15,True
15,True
15,True
15,False
15,True
15,False
15,True
15,True
15,True
15,False
15,False
15,True
15,False
15,False
15,False
15,True
15,False
15,False
15,False
15,True
15,True
15,True
15,False
15,False
15,False
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,False
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,False
15,True
15,True
15,True
15,False
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
15,True
16,False
16,True
16,True
16,True
16,False
16,False
16,True
16,True
16,False
