,address,std
74,9DC43723-8F13-4ABC-C756-AFD6762A9883,11.135528725660043
36,402B799D-D0B5-1828-8A38-5A7872AC004C,9.661492868312042
89,BB056977-A587-1AFB-A755-C463C98593B4,9.609023536933051
99,D5AA8D74-3DBE-82D4-19CE-34AA4530CF30,9.345230512584124
107,EC8DCE43-DC6A-E4ED-F9BC-72AFA2076DEE,9.29157324317757
48,6439E5F8-45A3-2BF9-A90F-2F5412EAD07E,9.210275059229595
141,d0:40:ef:f9:f0:9d,9.060872761753053
42,5CF555D6-48CA-4ADC-9211-635182D7E387,8.847643086005435
85,B29B9BDF-31B4-EFB5-9341-4823593885EA,8.69432400139711
57,80324D1A-7A05-DCA2-D675-DF7AE48F80D0,8.363674922009952
26,2E69403D-0597-EAD1-3A45-239969C651B6,8.153149462253605
96,CEEB922A-7DDE-46D0-CDC8-E7CDA8BD08A2,8.14207880663454
13,13611532-E963-EE25-A8B6-448A5F64C501,8.118907972545735
83,ACE72ECA-09A9-EAC6-1AF2-2E76BF660E4E,8.08462189042327
92,C273A7C0-D2CF-7033-9066-63DE621A6AF6,8.041558721209878
65,8A60BD70-3625-C7FC-E1BD-921F21A9665A,7.505553499465135
77,A1444613-FD08-5AB4-70DE-F1C849A324D5,7.353327720932108
67,8D85DC3F-F1EF-4CFB-E847-EC1D4E0EE582,7.3484692283495345
75,9F78548A-9526-975D-5327-2C4E18955E6B,7.077841007915715
105,E6E3BBB0-08C4-E3BD-BB12-3A33DB89A060,6.97853852894716
60,84:af:ec:86:f0:60,6.84105255059483
66,8BDFFC3A-CAB9-9C5A-5F90-222316CF3FB3,6.777381532192243
102,E1BEC981-F150-F7B4-9462-855BE34E0B7F,6.49358657959272
100,D7CE3214-813E-2313-E821-80A6ECE54CA1,6.3966136874651625
106,E93AB3DA-6277-0FCF-F172-4C8891BDB8EA,5.963779562212764
78,A1ED206E-338C-46F5-A589-35FC4E56E4FA,5.940248286696645
90,BBE44E4E-3BEA-1528-EFA4-7A324456043A,5.794964123737289
81,A8B90212-933E-55E6-900F-3061F77A9AA2,5.74456264653803
95,CB3FA815-792F-F093-ACFF-69B2FB6871CF,5.743223431542202
69,91592F85-8583-F7D2-B20C-CF8314BB5E59,5.368736660829373
87,B779BA50-0B02-B6EB-F369-2E330AFC31F5,5.275730597114801
72,99FC17B2-BBDE-A56A-E241-2F789956D915,5.232977925714429
8,0927D63B-9C1F-550F-2837-833C800C0015,5.202514185098765
22,28:ac:9e:3e:b9:a0,5.095095681142796
51,7390391D-AA27-8830-875B-FDA1FE16BA66,5.033222956847165
23,28:ac:9e:3e:b9:a1,4.947088457924146
5,014E3480-8DCF-32C5-FB83-0FE3F9E647A1,4.857983120596448
125,c0:06:c3:c0:b9:d2,4.784519371448248
86,B43A23A2-9E71-C6E8-E077-47C1867CA41C,4.776533359661652
39,497D108A-8000-60BF-9EC6-D425A99F01B2,4.7717115136217885
16,1A6F6B1A-5B42-9260-9384-259F81E6E89C,4.723575903081193
30,32F31CC5-70F7-2C9C-C688-6996A985B386,4.604345773288535
116,b0:26:80:d1:cf:01,4.600915240757168
84,AF3BF79E-D90C-914D-A5A2-59CA303B2846,4.598136268408882
109,FA1B5EB7-9854-EF57-0011-9DAF510B3836,4.593760069806367
104,E454F94D-9C6E-ECA1-85D2-014317A7A8E9,4.558393068661483
38,470BCD0E-4128-C60A-A81D-998F97C53329,4.54972526643093
18,25EEE710-D922-C8EB-84FC-60C776058272,4.5419852079932665
37,4595A0A1-833D-74BD-EB56-11903B509213,4.509249752822894
82,AB7D83E5-7101-36F5-D2B4-668B2C9A7903,4.387482193696063
64,8A50F6B1-3DB1-A85A-6ED9-343168E5E515,4.3417196017855755
33,3E0588ED-B074-0E75-CF27-8FD8719BC258,4.301964266672157
108,F0571E8D-A7BA-A618-7C1F-9B5DE0708944,4.090639721771325
44,5FAEC74A-B372-18CD-3464-305CD379F907,3.995202149033289
29,31F5A215-5EAD-CBC2-8330-E7B8F193D9E5,3.9930495169036444
129,c0:25:a2:a8:01:22,3.9686269665968865
63,8792153E-FDDA-84CC-BD7D-C8C6193F29A0,3.908033683673581
127,c0:25:a2:a7:2e:2a,3.901664837700325
115,b0:26:80:d1:cf:00,3.8668552041627398
7,0896FD2C-8A5B-89C7-99EA-A33F73198964,3.861901826080735
58,80:ea:96:f2:cc:76,3.8027515748770466
56,80280365-B20E-1CFF-B716-1AF288304351,3.785938897200181
98,D59D2354-372E-EC13-7BDA-49D8735505CC,3.780923778044807
70,934E5015-1188-46DC-D656-19F40EBAA913,3.7237973450050523
11,10E79AFE-4E98-6854-65EF-3E2C2D93DC46,3.677919737577088
97,CF8CD542-9487-2D8C-1F4E-43B4A756C17F,3.631965923654603
52,756C2E00-2EDF-F925-AFCF-51F8DC12B3B9,3.604500553811061
50,6A24D35D-35ED-06B5-B39A-EAD4365222EA,3.485902343944127
27,2EAED031-3590-344B-C4A8-89837A4F7FD1,3.342968530586435
111,FE156ECF-94AA-C7AE-6986-433F101573A6,3.2916811563644552
91,C1585FD6-BAD0-9CC9-A0DD-D6A5137C7C97,3.158525698008525
110,FA3E01C8-BFD2-EEB6-4B65-3FE180426693,3.1411250638372654
49,67FFA22E-F2BD-3665-AD1C-2ABCEC892E3B,3.107176444063881
94,CB334F59-F065-7DAB-9C2B-5A3669B0BD26,2.8477690144722696
145,e8:4f:25:d6:0e:45,2.7060414073923864
103,E4449501-7A76-AA58-CC11-0D5292F8E06A,2.6002765061617445
53,77E25248-68BD-55D5-353C-70A9B5BC4147,2.5884358211089586
47,62AD6CB1-240F-3D43-8405-33EC8BF3D7BB,2.54313437858334
68,8FA76E7C-0AA3-26FE-21C4-58CDEED4E8E9,2.507132682112035
32,3A292ADA-B6CF-253F-2188-1D00821B2821,2.48327740429189
45,60:84:bd:de:7c:60,2.3982752423212474
54,7ACF5DA2-65CB-4119-12AB-22CBA8C09B29,2.3979157616563618
93,C43A9D69-523A-95DA-C4D0-C87F69B323E1,2.217355782608347
41,51808EF8-2162-420F-731F-0817F82681B1,2.184602200055372
