address,count
b0:26:80:d1:cf:0f,30
80:ea:96:f2:cc:76,30
b0:26:80:d1:d8:af,30
b0:26:80:d1:cf:0e,30
ac:44:f2:8c:e8:a8,30
ac:44:f2:8c:b0:e0,30
60:84:bd:de:7c:67,30
c0:25:a2:a7:2e:2a,30
60:84:bd:de:7c:60,30
3E0588ED-B074-0E75-CF27-8FD8719BC258,30
ac:44:f2:8c:e9:20,30
28:ac:9e:3e:b9:af,30
c0:06:c3:c0:b9:d3,30
80:ea:96:f2:cc:77,30
b0:c7:45:c9:0d:d5,30
10:27:f5:e3:50:97,30
c4:36:c0:e3:cc:3f,30
c4:36:c0:e3:cc:3e,30
c4:36:c0:e3:cc:38,30
b0:26:80:d1:d8:ae,30
28:ac:9e:3e:b9:ae,30
84:af:ec:a7:f2:b4,30
BBE44E4E-3BEA-1528-EFA4-7A324456043A,30
c0:25:a2:a7:2e:2b,30
c0:25:a2:a9:b1:4f,30
9A5F8A1B-3BD7-0A1B-99CE-D4B805F0FA27,30
c0:06:c3:c0:b9:d2,29
e8:4f:25:d3:9b:75,29
B43A23A2-9E71-C6E8-E077-47C1867CA41C,29
10E79AFE-4E98-6854-65EF-3E2C2D93DC46,29
5CF555D6-48CA-4ADC-9211-635182D7E387,29
e8:4f:25:d6:0e:45,29
8A50F6B1-3DB1-A85A-6ED9-343168E5E515,28
CB334F59-F065-7DAB-9C2B-5A3669B0BD26,28
5FAEC74A-B372-18CD-3464-305CD379F907,28
80324D1A-7A05-DCA2-D675-DF7AE48F80D0,28
1A6F6B1A-5B42-9260-9384-259F81E6E89C,28
51808EF8-2162-420F-731F-0817F82681B1,28
B29B9BDF-31B4-EFB5-9341-4823593885EA,28
25EEE710-D922-C8EB-84FC-60C776058272,28
CEEB922A-7DDE-46D0-CDC8-E7CDA8BD08A2,27
1667049A-7372-C30D-89B2-B1ECA12DB046,27
7D1D648C-8CED-928B-3483-B164419E75B2,27
497D108A-8000-60BF-9EC6-D425A99F01B2,27
D59D2354-372E-EC13-7BDA-49D8735505CC,26
2E69403D-0597-EAD1-3A45-239969C651B6,26
84:af:ec:86:f0:60,26
CB3FA815-792F-F093-ACFF-69B2FB6871CF,26
11568810-14EB-73E2-57A7-8E4F671044D2,26
0927D63B-9C1F-550F-2837-833C800C0015,26
91592F85-8583-F7D2-B20C-CF8314BB5E59,25
84:af:ec:86:f0:70,25
28:ac:9e:3e:b9:a0,25
AB7D83E5-7101-36F5-D2B4-668B2C9A7903,25
b0:c7:45:c9:0d:d0,25
04BAB474-320A-44CF-2E48-F6A57219ED08,25
13611532-E963-EE25-A8B6-448A5F64C501,25
7ACF5DA2-65CB-4119-12AB-22CBA8C09B29,25
E1BEC981-F150-F7B4-9462-855BE34E0B7F,25
99FC17B2-BBDE-A56A-E241-2F789956D915,24
b0:26:80:d1:cf:00,23
C1585FD6-BAD0-9CC9-A0DD-D6A5137C7C97,23
A1444613-FD08-5AB4-70DE-F1C849A324D5,22
8BDFFC3A-CAB9-9C5A-5F90-222316CF3FB3,22
62AD6CB1-240F-3D43-8405-33EC8BF3D7BB,22
0896FD2C-8A5B-89C7-99EA-A33F73198964,21
B779BA50-0B02-B6EB-F369-2E330AFC31F5,21
FA1B5EB7-9854-EF57-0011-9DAF510B3836,20
b0:26:80:d1:cf:01,20
E454F94D-9C6E-ECA1-85D2-014317A7A8E9,20
A1ED206E-338C-46F5-A589-35FC4E56E4FA,19
d0:40:ef:f9:f0:9d,19
28:ac:9e:3e:b9:a1,19
2EAED031-3590-344B-C4A8-89837A4F7FD1,19
E4449501-7A76-AA58-CC11-0D5292F8E06A,18
c4:36:c0:e3:cc:30,17
CF8CD542-9487-2D8C-1F4E-43B4A756C17F,17
F0571E8D-A7BA-A618-7C1F-9B5DE0708944,16
b0:26:80:d1:d8:a0,16
16:27:f5:e3:50:96,16
249C181E-96E7-D024-AD18-CEC7BE3C93E9,16
9F78548A-9526-975D-5327-2C4E18955E6B,16
6439E5F8-45A3-2BF9-A90F-2F5412EAD07E,16
A24CC2A3-FC82-437A-DA70-A30AFA2E6483,15
00:90:fe:f7:da:b4,15
A87224AC-4440-6421-23F3-8D88EE4F2949,14
FE156ECF-94AA-C7AE-6986-433F101573A6,14
28:ac:9e:3e:b1:8f,13
756C2E00-2EDF-F925-AFCF-51F8DC12B3B9,12
6A24D35D-35ED-06B5-B39A-EAD4365222EA,12
67FFA22E-F2BD-3665-AD1C-2ABCEC892E3B,11
8792153E-FDDA-84CC-BD7D-C8C6193F29A0,11
c0:25:a2:a8:01:23,10
00:90:fe:f7:da:b6,10
