,address,var
74,9DC43723-8F13-4ABC-C756-AFD6762A9883,124.0
36,402B799D-D0B5-1828-8A38-5A7872AC004C,93.34444444444445
89,BB056977-A587-1AFB-A755-C463C98593B4,92.33333333333337
99,D5AA8D74-3DBE-82D4-19CE-34AA4530CF30,87.33333333333333
107,EC8DCE43-DC6A-E4ED-F9BC-72AFA2076DEE,86.33333333333334
48,6439E5F8-45A3-2BF9-A90F-2F5412EAD07E,84.82916666666671
141,d0:40:ef:f9:f0:9d,82.09941520467841
42,5CF555D6-48CA-4ADC-9211-635182D7E387,78.28078817733979
85,B29B9BDF-31B4-EFB5-9341-4823593885EA,75.59126984126986
57,80324D1A-7A05-DCA2-D675-DF7AE48F80D0,69.95105820105819
26,2E69403D-0597-EAD1-3A45-239969C651B6,66.47384615384624
96,CEEB922A-7DDE-46D0-CDC8-E7CDA8BD08A2,66.29344729344733
13,13611532-E963-EE25-A8B6-448A5F64C501,65.91666666666669
83,ACE72ECA-09A9-EAC6-1AF2-2E76BF660E4E,65.36111111111111
92,C273A7C0-D2CF-7033-9066-63DE621A6AF6,64.66666666666664
65,8A60BD70-3625-C7FC-E1BD-921F21A9665A,56.33333333333333
77,A1444613-FD08-5AB4-70DE-F1C849A324D5,54.071428571428584
67,8D85DC3F-F1EF-4CFB-E847-EC1D4E0EE582,54.0
75,9F78548A-9526-975D-5327-2C4E18955E6B,50.09583333333334
105,E6E3BBB0-08C4-E3BD-BB12-3A33DB89A060,48.69999999999999
60,84:af:ec:86:f0:60,46.80000000000002
66,8BDFFC3A-CAB9-9C5A-5F90-222316CF3FB3,45.93290043290048
102,E1BEC981-F150-F7B4-9462-855BE34E0B7F,42.16666666666668
100,D7CE3214-813E-2313-E821-80A6ECE54CA1,40.916666666666664
106,E93AB3DA-6277-0FCF-F172-4C8891BDB8EA,35.56666666666666
78,A1ED206E-338C-46F5-A589-35FC4E56E4FA,35.28654970760242
90,BBE44E4E-3BEA-1528-EFA4-7A324456043A,33.58160919540229
81,A8B90212-933E-55E6-900F-3061F77A9AA2,33.00000000000002
95,CB3FA815-792F-F093-ACFF-69B2FB6871CF,32.98461538461539
69,91592F85-8583-F7D2-B20C-CF8314BB5E59,28.82333333333332
87,B779BA50-0B02-B6EB-F369-2E330AFC31F5,27.833333333333297
72,99FC17B2-BBDE-A56A-E241-2F789956D915,27.38405797101449
8,0927D63B-9C1F-550F-2837-833C800C0015,27.06615384615386
22,28:ac:9e:3e:b9:a0,25.959999999999976
51,7390391D-AA27-8830-875B-FDA1FE16BA66,25.333333333333318
23,28:ac:9e:3e:b9:a1,24.473684210526297
5,014E3480-8DCF-32C5-FB83-0FE3F9E647A1,23.60000000000001
125,c0:06:c3:c0:b9:d2,22.891625615763537
86,B43A23A2-9E71-C6E8-E077-47C1867CA41C,22.815270935960626
39,497D108A-8000-60BF-9EC6-D425A99F01B2,22.76923076923074
16,1A6F6B1A-5B42-9260-9384-259F81E6E89C,22.31216931216931
30,32F31CC5-70F7-2C9C-C688-6996A985B386,21.2
116,b0:26:80:d1:cf:01,21.168421052631583
84,AF3BF79E-D90C-914D-A5A2-59CA303B2846,21.14285714285716
109,FA1B5EB7-9854-EF57-0011-9DAF510B3836,21.102631578947403
